ddf_name,season_length,season,u,g,r,i,z,y,n_sequences,flush_length,even_odd_None, g_depth_limit
XMM_LSS, 225, 2,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
XMM_LSS, 225, 2,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

XMM_LSS, 225, 3,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 225, 3,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
XMM_LSS, 225, 3,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
XMM_LSS, 225, 3,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

XMM_LSS, 225, 5,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 225, 5,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
XMM_LSS, 225, 5,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
XMM_LSS, 225, 5,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

XMM_LSS, 225, 6,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 225, 6,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
XMM_LSS, 225, 6,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
XMM_LSS, 225, 6,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

XMM_LSS, 225, 7,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 225, 7,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
XMM_LSS, 225, 7,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
XMM_LSS, 225, 7,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

XMM_LSS, 225, 8,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 225, 8,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
XMM_LSS, 225, 8,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
