ddf_name,season_length,season,u,g,r,i,z,y,n_sequences,flush_length,even_odd_None, g_depth_limit
ECDFS, 225, 2,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ECDFS, 225, 3,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ECDFS, 225, 3,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ECDFS, 225, 3,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ECDFS, 225, 3,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ECDFS, 225, 4,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ECDFS, 225, 4,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ECDFS, 225, 4,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ECDFS, 225, 4,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ECDFS, 225, 5,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ECDFS, 225, 5,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ECDFS, 225, 5,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ECDFS, 225, 5,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ECDFS, 225, 7,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ECDFS, 225, 7,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ECDFS, 225, 7,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ECDFS, 225, 7,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ECDFS, 225, 8,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ECDFS, 225, 8,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ECDFS, 225, 8,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ECDFS, 225, 8,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ECDFS, 225, 9,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ECDFS, 225, 9,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ECDFS, 225, 9,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ECDFS, 225, 9,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

ECDFS, 225, 10,    20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ECDFS, 225, 10,    0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ECDFS, 225, 10,    0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ECDFS, 225, 10,    0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

# ECDFS deep season
ECDFS, 225, 6,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
ECDFS, 225, 6,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
ECDFS, 225, 6,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
ECDFS, 225, 6,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5
ECDFS, 180, 6,     0, 4, 18, 55, 52, 0,        110, 2, none, 23.5 

# EDFS_a shallow seasons
EDFS_a, 225, 0,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
EDFS_a, 225, 0,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
EDFS_a, 225, 0,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
EDFS_a, 225, 0,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

EDFS_a, 225, 2,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
EDFS_a, 225, 2,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
EDFS_a, 225, 2,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
EDFS_a, 225, 2,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

EDFS_a, 225, 3,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
EDFS_a, 225, 3,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
EDFS_a, 225, 3,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
EDFS_a, 225, 3,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

EDFS_a, 225, 4,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
EDFS_a, 225, 4,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
EDFS_a, 225, 4,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
EDFS_a, 225, 4,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

EDFS_a, 225, 5,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
EDFS_a, 225, 5,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
EDFS_a, 225, 5,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
EDFS_a, 225, 5,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

EDFS_a, 225, 6,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
EDFS_a, 225, 6,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
EDFS_a, 225, 6,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
EDFS_a, 225, 6,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

EDFS_a, 225, 7,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
EDFS_a, 225, 7,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
EDFS_a, 225, 7,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
EDFS_a, 225, 7,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

EDFS_a, 225, 8,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
EDFS_a, 225, 8,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
EDFS_a, 225, 8,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
EDFS_a, 225, 8,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

EDFS_a, 225, 9,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
EDFS_a, 225, 9,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
EDFS_a, 225, 9,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
EDFS_a, 225, 9,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

EDFS_a, 225, 10,    20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
EDFS_a, 225, 10,    0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
EDFS_a, 225, 10,    0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
EDFS_a, 225, 10,    0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5

# EDFS_a deep season
EDFS_a, 225, 1,     20, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
EDFS_a, 225, 1,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
EDFS_a, 225, 1,     0, 1, 0, 2, 0, 0,           112, 0.5, even, 23.5 
EDFS_a, 225, 1,     0, 0, 1, 0, 2, 0,           112, 0.5, odd, 23.5
EDFS_a, 180, 1,     0, 4, 18, 55, 52, 0,        110, 2, none, 23.5 
