ddf_name,season_length,season,u,g,r,i,z,y,n_sequences,flush_length,even_odd_None,g_depth_limit

# COSMOS Shallow season
COSMOS, 120, 1,     12, 0, 0, 0, 0, 0,           75, 2, none, 23.5  
COSMOS, 120, 1,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
COSMOS, 120, 1,     0, 2, 0, 3, 0, 0,           200, 0.5, none, 22.8 
COSMOS, 120, 1,     0, 0, 2, 0, 3, 0,           200, 0.5, none, 22.8
COSMOS, 180, 1,     0, 4, 18, 55, 52, 0,        110, 2, none, 23.5 

COSMOS, 120, 2,     12, 0, 0, 0, 0, 0,           75, 2, none, 23.5  
COSMOS, 120, 2,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
COSMOS, 120, 2,     0, 2, 0, 3, 0, 0,           200, 0.5, none, 22.8 
COSMOS, 120, 2,     0, 0, 2, 0, 3, 0,           200, 0.5, none, 22.8
COSMOS, 180, 2,     0, 4, 18, 55, 52, 0,        110, 2, none, 23.5 

COSMOS, 120, 3,     12, 0, 0, 0, 0, 0,           75, 2, none, 23.5  
COSMOS, 120, 3,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
COSMOS, 120, 3,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
COSMOS, 120, 3,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
COSMOS, 180, 3,     0, 4, 18, 55, 52, 0,        110, 2, none, 23.5 

# XMM_LSS shallow seasons
XMM_LSS, 120, 0,     4, 0, 0, 0, 0, 0,          33, 2, none, 23.5  # XXX, gotta scale down because partial season
XMM_LSS, 120, 0,     0, 0, 0, 0, 0, 3,          33, 2, none, 23.5  
XMM_LSS, 120, 0,     0, 2, 0, 3, 0, 0,           56, 0.5, even 
XMM_LSS, 120, 0,     0, 0, 2, 0, 3, 0,           56, 0.5, odd
XMM_LSS, 80,  0,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
XMM_LSS, 80,  0,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  0,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  0,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

XMM_LSS, 120, 1,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 120, 1,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
XMM_LSS, 120, 1,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
XMM_LSS, 120, 1,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
XMM_LSS, 80,  1,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
XMM_LSS, 80,  1,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  1,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  1,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

XMM_LSS, 120, 2,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 120, 2,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
XMM_LSS, 120, 2,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
XMM_LSS, 120, 2,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
XMM_LSS, 80,  2,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
XMM_LSS, 80,  2,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  2,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  2,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

XMM_LSS, 120, 3,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 120, 3,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
XMM_LSS, 120, 3,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
XMM_LSS, 120, 3,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
XMM_LSS, 80,  3,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
XMM_LSS, 80,  3,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  3,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  3,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

XMM_LSS, 120, 5,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 120, 5,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
XMM_LSS, 120, 5,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
XMM_LSS, 120, 5,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
XMM_LSS, 80,  5,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
XMM_LSS, 80,  5,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  5,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  5,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

XMM_LSS, 120, 6,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 120, 6,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
XMM_LSS, 120, 6,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
XMM_LSS, 120, 6,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
XMM_LSS, 80,  6,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
XMM_LSS, 80,  6,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  6,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  6,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

XMM_LSS, 120, 7,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 120, 7,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
XMM_LSS, 120, 7,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
XMM_LSS, 120, 7,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
XMM_LSS, 80,  7,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
XMM_LSS, 80,  7,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  7,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
XMM_LSS, 80,  7,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

